species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,Female,Male,spec_id
Adelie,36.6,17.8,185.0,3700.0,True,False,0
Adelie,41.0,20.0,203.0,4725.0,False,True,0
Adelie,37.6,19.3,181.0,3300.0,True,False,0
Adelie,41.3,21.1,195.0,4400.0,False,True,0
Adelie,35.5,16.2,195.0,3350.0,True,False,0
Adelie,38.6,17.2,199.0,3750.0,True,False,0
Adelie,41.4,18.5,202.0,3875.0,False,True,0
Adelie,41.1,17.6,182.0,3200.0,True,False,0
Adelie,36.5,18.0,182.0,3150.0,True,False,0
Adelie,38.2,20.0,190.0,3900.0,False,True,0
Adelie,37.2,19.4,184.0,3900.0,False,True,0
Adelie,39.2,19.6,195.0,4675.0,False,True,0
Adelie,39.6,18.1,186.0,4450.0,False,True,0
Adelie,35.1,19.4,193.0,4200.0,False,True,0
Adelie,40.6,17.2,187.0,3475.0,False,True,0
Adelie,36.7,19.3,193.0,3450.0,True,False,0
Adelie,37.9,18.6,193.0,2925.0,True,False,0
Adelie,39.0,17.1,191.0,3050.0,True,False,0
Adelie,42.2,19.5,197.0,4275.0,False,True,0
Adelie,38.9,18.8,190.0,3600.0,True,False,0
Adelie,41.8,19.4,198.0,4450.0,False,True,0
Adelie,34.4,18.4,184.0,3325.0,True,False,0
Adelie,37.7,18.7,180.0,3600.0,False,True,0
Adelie,40.7,17.0,190.0,3725.0,False,True,0
Adelie,41.6,18.0,192.0,3950.0,False,True,0
Adelie,38.1,17.0,181.0,3175.0,True,False,0
Adelie,41.1,18.6,189.0,3325.0,False,True,0
Adelie,42.0,19.5,200.0,4050.0,False,True,0
Adelie,37.0,16.5,185.0,3400.0,True,False,0
Adelie,44.1,18.0,210.0,4000.0,False,True,0
Adelie,39.6,17.2,196.0,3550.0,True,False,0
Adelie,36.2,17.2,187.0,3150.0,True,False,0
Adelie,36.7,18.8,187.0,3800.0,True,False,0
Adelie,42.8,18.5,195.0,4250.0,False,True,0
Adelie,36.0,17.1,187.0,3700.0,True,False,0
Adelie,39.0,18.7,185.0,3650.0,False,True,0
Adelie,36.4,17.0,195.0,3325.0,True,False,0
Adelie,37.3,16.8,192.0,3000.0,True,False,0
Adelie,39.0,17.5,186.0,3550.0,True,False,0
Adelie,38.5,17.9,190.0,3325.0,True,False,0
Adelie,41.1,19.0,182.0,3425.0,False,True,0
Adelie,38.6,17.0,188.0,2900.0,True,False,0
Adelie,36.4,17.1,184.0,2850.0,True,False,0
Adelie,43.1,19.2,197.0,3500.0,False,True,0
Adelie,44.1,19.7,196.0,4400.0,False,True,0
Adelie,37.3,20.5,199.0,3775.0,False,True,0
Adelie,39.7,18.4,190.0,3900.0,False,True,0
Adelie,35.0,17.9,192.0,3725.0,True,False,0
Adelie,39.6,18.8,190.0,4600.0,False,True,0
Adelie,43.2,19.0,197.0,4775.0,False,True,0
Gentoo,49.2,15.2,221.0,6300.0,False,True,1
Gentoo,45.8,14.2,219.0,4700.0,True,False,1
