,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survival_Status
0,0,3,male,22.0,1,0,7.25,S,Dit not Survived
1,1,1,female,38.0,1,0,71.2833,C,Survived
2,1,3,female,26.0,0,0,7.925,S,Survived
3,1,1,female,35.0,1,0,53.1,S,Survived
4,0,3,male,35.0,0,0,8.05,S,Dit not Survived
6,0,1,male,54.0,0,0,51.8625,S,Dit not Survived
7,0,3,male,2.0,3,1,21.075,S,Dit not Survived
8,1,3,female,27.0,0,2,11.1333,S,Survived
9,1,2,female,14.0,1,0,30.0708,C,Survived
10,1,3,female,4.0,1,1,16.7,S,Survived
11,1,1,female,58.0,0,0,26.55,S,Survived
12,0,3,male,20.0,0,0,8.05,S,Dit not Survived
13,0,3,male,39.0,1,5,31.275,S,Dit not Survived
14,0,3,female,14.0,0,0,7.8542,S,Dit not Survived
15,1,2,female,55.0,0,0,16.0,S,Survived
16,0,3,male,2.0,4,1,29.125,Q,Dit not Survived
18,0,3,female,31.0,1,0,18.0,S,Dit not Survived
20,0,2,male,35.0,0,0,26.0,S,Dit not Survived
21,1,2,male,34.0,0,0,13.0,S,Survived
22,1,3,female,15.0,0,0,8.0292,Q,Survived
23,1,1,male,28.0,0,0,35.5,S,Survived
24,0,3,female,8.0,3,1,21.075,S,Dit not Survived
25,1,3,female,38.0,1,5,31.3875,S,Survived
27,0,1,male,19.0,3,2,263.0,S,Dit not Survived
30,0,1,male,40.0,0,0,27.7208,C,Dit not Survived
33,0,2,male,66.0,0,0,10.5,S,Dit not Survived
34,0,1,male,28.0,1,0,82.1708,C,Dit not Survived
35,0,1,male,42.0,1,0,52.0,S,Dit not Survived
37,0,3,male,21.0,0,0,8.05,S,Dit not Survived
38,0,3,female,18.0,2,0,18.0,S,Dit not Survived
39,1,3,female,14.0,1,0,11.2417,C,Survived
40,0,3,female,40.0,1,0,9.475,S,Dit not Survived
41,0,2,female,27.0,1,0,21.0,S,Dit not Survived
43,1,2,female,3.0,1,2,41.5792,C,Survived
44,1,3,female,19.0,0,0,7.8792,Q,Survived
49,0,3,female,18.0,1,0,17.8,S,Dit not Survived
50,0,3,male,7.0,4,1,39.6875,S,Dit not Survived
51,0,3,male,21.0,0,0,7.8,S,Dit not Survived
52,1,1,female,49.0,1,0,76.7292,C,Survived
53,1,2,female,29.0,1,0,26.0,S,Survived
54,0,1,male,65.0,0,1,61.9792,C,Dit not Survived
56,1,2,female,21.0,0,0,10.5,S,Survived
57,0,3,male,28.5,0,0,7.2292,C,Dit not Survived
58,1,2,female,5.0,1,2,27.75,S,Survived
59,0,3,male,11.0,5,2,46.9,S,Dit not Survived
60,0,3,male,22.0,0,0,7.2292,C,Dit not Survived
62,0,1,male,45.0,1,0,83.475,S,Dit not Survived
63,0,3,male,4.0,3,2,27.9,S,Dit not Survived
66,1,2,female,29.0,0,0,10.5,S,Survived
67,0,3,male,19.0,0,0,8.1583,S,Dit not Survived
68,1,3,female,17.0,4,2,7.925,S,Survived
69,0,3,male,26.0,2,0,8.6625,S,Dit not Survived
70,0,2,male,32.0,0,0,10.5,S,Dit not Survived
71,0,3,female,16.0,5,2,46.9,S,Dit not Survived
72,0,2,male,21.0,0,0,73.5,S,Dit not Survived
73,0,3,male,26.0,1,0,14.4542,C,Dit not Survived
74,1,3,male,32.0,0,0,56.4958,S,Survived
75,0,3,male,25.0,0,0,7.65,S,Dit not Survived
78,1,2,male,0.83,0,2,29.0,S,Survived
79,1,3,female,30.0,0,0,12.475,S,Survived
80,0,3,male,22.0,0,0,9.0,S,Dit not Survived
81,1,3,male,29.0,0,0,9.5,S,Survived
83,0,1,male,28.0,0,0,47.1,S,Dit not Survived
84,1,2,female,17.0,0,0,10.5,S,Survived
85,1,3,female,33.0,3,0,15.85,S,Survived
86,0,3,male,16.0,1,3,34.375,S,Dit not Survived
88,1,1,female,23.0,3,2,263.0,S,Survived
89,0,3,male,24.0,0,0,8.05,S,Dit not Survived
90,0,3,male,29.0,0,0,8.05,S,Dit not Survived
91,0,3,male,20.0,0,0,7.8542,S,Dit not Survived
92,0,1,male,46.0,1,0,61.175,S,Dit not Survived
93,0,3,male,26.0,1,2,20.575,S,Dit not Survived
94,0,3,male,59.0,0,0,7.25,S,Dit not Survived
96,0,1,male,71.0,0,0,34.6542,C,Dit not Survived
97,1,1,male,23.0,0,1,63.3583,C,Survived
98,1,2,female,34.0,0,1,23.0,S,Survived
99,0,2,male,34.0,1,0,26.0,S,Dit not Survived
100,0,3,female,28.0,0,0,7.8958,S,Dit not Survived
102,0,1,male,21.0,0,1,77.2875,S,Dit not Survived
103,0,3,male,33.0,0,0,8.6542,S,Dit not Survived
104,0,3,male,37.0,2,0,7.925,S,Dit not Survived
105,0,3,male,28.0,0,0,7.8958,S,Dit not Survived
106,1,3,female,21.0,0,0,7.65,S,Survived
108,0,3,male,38.0,0,0,7.8958,S,Dit not Survived
110,0,1,male,47.0,0,0,52.0,S,Dit not Survived
111,0,3,female,14.5,1,0,14.4542,C,Dit not Survived
112,0,3,male,22.0,0,0,8.05,S,Dit not Survived
113,0,3,female,20.0,1,0,9.825,S,Dit not Survived
114,0,3,female,17.0,0,0,14.4583,C,Dit not Survived
115,0,3,male,21.0,0,0,7.925,S,Dit not Survived
116,0,3,male,70.5,0,0,7.75,Q,Dit not Survived
117,0,2,male,29.0,1,0,21.0,S,Dit not Survived
118,0,1,male,24.0,0,1,247.5208,C,Dit not Survived
119,0,3,female,2.0,4,2,31.275,S,Dit not Survived
120,0,2,male,21.0,2,0,73.5,S,Dit not Survived
122,0,2,male,32.5,1,0,30.0708,C,Dit not Survived
123,1,2,female,32.5,0,0,13.0,S,Survived
124,0,1,male,54.0,0,1,77.2875,S,Dit not Survived
125,1,3,male,12.0,1,0,11.2417,C,Survived
127,1,3,male,24.0,0,0,7.1417,S,Survived
129,0,3,male,45.0,0,0,6.975,S,Dit not Survived
130,0,3,male,33.0,0,0,7.8958,C,Dit not Survived
131,0,3,male,20.0,0,0,7.05,S,Dit not Survived
