third_party,rep_inc_party,dem_inc,rep_inc,dem_inc_party,july_dem,jul_rep,aug_dem,aug_rep,sep_dem,sep_rep,oct_dem,oct_rep,unem_dec_t_1,unem_per_change_t_2_t_1,GDP_per_change_t_1,inflation_t_1,last_recession,greatwar_years,avg_pres_approval,int_pres_approval_dem_inc,int_pres_approval_dem_inc_party,state_gdp,state_gdp_per_cap,pop_density,region_ne,region_mw,region_s,region_w,prog,trad,moral,ind,lag_dem_per,lag2_dem_per,counter,int_south_year,lag_citi,lag_nom
0,1,0,1,0,37,56,30.5,60.5,33,61,35,59.5,6,-0.1,3.3,3.3,2,1,55.8,0,0,13600000000,3860,67.16892976,0,0,1,0,0,0,0,0,18.7,0,14,14,6.310116768,58.31417084
0,1,0,0,0,62,29,52.5,34,51,40,47.33,45,4.9,-0.3,5.6,8.7,1,0,47.2,0,0,21300000000,5830,69.68704925,0,0,1,0,0,0,0,0,25.5,18.7,18,18,15.88528061,56.23742676
1,0,1,0,1,35,34.75,35.67,40.67,35.67,40.67,44.33,42,6,0,3.2,13.3,0,0,45.5,45.5,45.5,33700000000,8650,74.30360165,0,0,1,0,0,0,0,0,55.7,25.5,22,22,25.33955574,57.74647903
0,1,0,1,0,41,53,38.5,55.25,38.5,55.25,39.33,57.67,8.3,-2.5,4.6,3.8,2,0,50.3,0,0,45700000000,11500,76.13496128,0,0,1,0,0,0,0,0,47.4,55.7,26,26,29.22126961,56.63983917
0,1,0,0,0,50.5,39,49,42,41.5,48,40,50,5.7,-0.9,3.5,4.4,6,0,55.3,0,0,60800000000,14800,78.27154752,0,0,1,0,0,0,0,0,38.3,47.4,30,30,28.21488953,54.59423065
1,1,0,1,0,52.25,37.5,52.67,39.33,52,38.8,44.92,33.83,7.3,1,-0.1,3.1,1,0,60.9,0,0,76000000000,18400,78.93923072,0,0,1,0,0,0,0,0,39.9,38.3,34,34,45.0299263,42.46370697
1,0,1,0,1,50,34,51.2,35.8,52.77,35.23,52.2,35.8,5.6,0.1,2.7,2.5,5,0,49.6,49.6,49.6,95800000000,22300,81.85796013,0,0,1,0,0,0,0,0,40.9,39.9,38,38,39.6221199,42.75114822
0,0,0,0,1,41,47.5,42,50.25,43.62,47.23,43.73,46.87,4,-0.4,4.8,2.7,9,0,60.6,0,60.6,1.15E+11,25900,84.83391953,0,0,1,0,0,0,0,0,43.2,40.9,42,42,29.3992424,45.52942657
0,1,0,1,0,47.33,47.33,46,48,44.5,52,47.4,49.8,5.7,-0.3,2.9,1.9,3,1,62.2,0,0,1.34E+11,29700,86.01667262,0,0,1,0,0,0,0,0,41.6,43.2,46,46,32.0957489,67.07746887
0,1,0,0,0,46.5,42.5,47.67,43,46.67,46.33,51.8,41.6,5,0.6,1.9,4.1,0,1,36.5,0,0,1.70E+11,36300,89.22155197,0,0,1,0,0,0,0,0,36.8,41.6,50,50,39.14337921,44.6177063
0,0,1,0,1,47.25,45,46.33,46,49.67,44,48,47.25,8.5,-0.8,1.6,3,3,0,49.1,49.1,49.1,1.81E+11,37600,91.87320811,0,0,1,0,0,0,0,0,39,36.8,54,54,48.36923981,44.32643509
0,0,0,0,1,40.33,38.33,42.67,37.33,42.33,40,45.25,40.25,5,-0.6,2.9,0.7,7,0,46.7,0,46.7,2.00E+11,41100,92.80796458,0,0,1,0,0,0,0,0,38,39,58,58,37.59914017,28.40795135
0,1,0,1,0,37,56,30.5,60.5,33,61,35,59.5,6,-0.1,3.3,3.3,2,1,55.8,0,0,2540000000,7820,0.488439729,0,0,0,1,0,0,0,0,42.6,65.9,14,0,55.37985611,45.02012253
0,1,0,0,0,62,29,52.5,34,51,40,47.33,45,4.9,-0.3,5.6,8.7,1,0,47.2,0,0,6220000000,15200,0.613179721,0,0,0,1,0,0,0,0,34.6,42.6,18,0,73.82514191,67.43586731
1,0,1,0,1,35,34.75,35.67,40.67,35.67,40.67,44.33,42,6,0,3.2,13.3,0,0,45.5,45.5,45.5,10900000000,27000,0.605665264,0,0,0,1,0,0,0,0,35.7,34.6,22,0,39.68947601,50.69165039
