,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survival_Status
0,0,3,male,22.0,1,0,7.25,S,Did Not Survived
1,1,1,female,38.0,1,0,71.2833,C,Survived
2,1,3,female,26.0,0,0,7.925,S,Survived
3,1,1,female,35.0,1,0,53.1,S,Survived
4,0,3,male,35.0,0,0,8.05,S,Did Not Survived
5,0,3,male,,0,0,8.4583,Q,Did Not Survived
6,0,1,male,54.0,0,0,51.8625,S,Did Not Survived
7,0,3,male,2.0,3,1,21.075,S,Did Not Survived
8,1,3,female,27.0,0,2,11.1333,S,Survived
9,1,2,female,14.0,1,0,30.0708,C,Survived
10,1,3,female,4.0,1,1,16.7,S,Survived
11,1,1,female,58.0,0,0,26.55,S,Survived
12,0,3,male,20.0,0,0,8.05,S,Did Not Survived
13,0,3,male,39.0,1,5,31.275,S,Did Not Survived
14,0,3,female,14.0,0,0,7.8542,S,Did Not Survived
15,1,2,female,55.0,0,0,16.0,S,Survived
16,0,3,male,2.0,4,1,29.125,Q,Did Not Survived
17,1,2,male,,0,0,13.0,S,Survived
18,0,3,female,31.0,1,0,18.0,S,Did Not Survived
19,1,3,female,,0,0,7.225,C,Survived
20,0,2,male,35.0,0,0,26.0,S,Did Not Survived
21,1,2,male,34.0,0,0,13.0,S,Survived
22,1,3,female,15.0,0,0,8.0292,Q,Survived
23,1,1,male,28.0,0,0,35.5,S,Survived
24,0,3,female,8.0,3,1,21.075,S,Did Not Survived
25,1,3,female,38.0,1,5,31.3875,S,Survived
26,0,3,male,,0,0,7.225,C,Did Not Survived
27,0,1,male,19.0,3,2,263.0,S,Did Not Survived
28,1,3,female,,0,0,7.8792,Q,Survived
29,0,3,male,,0,0,7.8958,S,Did Not Survived
30,0,1,male,40.0,0,0,27.7208,C,Did Not Survived
31,1,1,female,,1,0,146.5208,C,Survived
32,1,3,female,,0,0,7.75,Q,Survived
33,0,2,male,66.0,0,0,10.5,S,Did Not Survived
34,0,1,male,28.0,1,0,82.1708,C,Did Not Survived
35,0,1,male,42.0,1,0,52.0,S,Did Not Survived
36,1,3,male,,0,0,7.2292,C,Survived
37,0,3,male,21.0,0,0,8.05,S,Did Not Survived
38,0,3,female,18.0,2,0,18.0,S,Did Not Survived
39,1,3,female,14.0,1,0,11.2417,C,Survived
40,0,3,female,40.0,1,0,9.475,S,Did Not Survived
41,0,2,female,27.0,1,0,21.0,S,Did Not Survived
42,0,3,male,,0,0,7.8958,C,Did Not Survived
43,1,2,female,3.0,1,2,41.5792,C,Survived
44,1,3,female,19.0,0,0,7.8792,Q,Survived
45,0,3,male,,0,0,8.05,S,Did Not Survived
46,0,3,male,,1,0,15.5,Q,Did Not Survived
47,1,3,female,,0,0,7.75,Q,Survived
48,0,3,male,,2,0,21.6792,C,Did Not Survived
49,0,3,female,18.0,1,0,17.8,S,Did Not Survived
50,0,3,male,7.0,4,1,39.6875,S,Did Not Survived
51,0,3,male,21.0,0,0,7.8,S,Did Not Survived
52,1,1,female,49.0,1,0,76.7292,C,Survived
53,1,2,female,29.0,1,0,26.0,S,Survived
54,0,1,male,65.0,0,1,61.9792,C,Did Not Survived
55,1,1,male,,0,0,35.5,S,Survived
56,1,2,female,21.0,0,0,10.5,S,Survived
57,0,3,male,28.5,0,0,7.2292,C,Did Not Survived
58,1,2,female,5.0,1,2,27.75,S,Survived
59,0,3,male,11.0,5,2,46.9,S,Did Not Survived
60,0,3,male,22.0,0,0,7.2292,C,Did Not Survived
61,1,1,female,38.0,0,0,80.0,,Survived
62,0,1,male,45.0,1,0,83.475,S,Did Not Survived
