LoanID,StringID,Product,CustomerGender,Location,Region,TotalPrice,StartDate,Deposit,DailyRate,TotalDaysYr,AmtPaid36,AmtPaid60,AmtPaid360,LoanStatus
1,LoanID_1,Product B,Female,Location 3,Region 2,17600,04/07/2018,2200,45,365,3221,4166,14621,Active
2,LoanID_2,Product D,Female,Location 6,Region 6,,02/01/2019,2200,45,365,3161,4096,16041,Active
3,LoanID_3,Product B,Male,Location 8,Region 3,16600,08/12/2016,1000,45,365,2260,3205,16340,
4,LoanID_4,Product A,Male,Location 26,Region 2,17600,,2200,45,365,3141,4166,16321,Active
5,LoanID_5,Product B,Female,Location 34,Region 3,21250,28/10/2017,2200,55,365,3570,4745,14720,Active
6,LoanID_6,Product A,Male,Location 34,Region 1,,19/04/2019,2200,45,365,3301,4066,15141,Active
7,LoanID_7,Product A,Male,Location 25,,21250,04/07/2020,2200,55,365,1951,3176,18701,Active
8,LoanID_8,Product D,Male,Location 46,Region 5,17600,24/04/2018,2200,45,365,4071,4056,16351,Active
9,LoanID_9,Product A,Male,Location 156,Region 6,23250,03/09/2019,5000,55,365,5850,7375,21250,
10,LoanID_10,Product C,Male,Location 21,Region 9,21250,25/07/2020,2200,55,365,2051,3176,18351,Active
11,LoanID_11,Product B,Female,Location 13,Region 6,17600,01/05/2018,2200,45,365,3260,4405,17380,Active
12,LoanID_12,Product D,Female,Location 25,Region 6,21250,29/03/2017,2200,55,365,3190,4115,11790,Active
13,LoanID_13,Product B,Female,Location 579,Region 3,17600,03/10/2018,2200,45,365,3221,5086,14441,Active
14,LoanID_14,Product A,Male,Location 602,Region 3,21750,18/09/2019,3000,55,365,1780,1605,6010,Active
15,LoanID_15,Product A,Male,Location 10,Region 7,23250,20/05/2019,5000,55,365,5600,6825,22000,Active
16,LoanID_16,Product B,Male,Location 44,Region 2,17600,31/05/2018,2200,45,365,3221,4726,16001,Active
17,LoanID_17,Product A,Male,Location 25,Region 3,23250,29/08/2019,5000,55,365,4100,4735,9010,Active
18,LoanID_18,Product B,Male,Location 44,Region 6,17600,06/06/2018,2200,45,365,3501,4126,16381,Active
19,LoanID_19,Product B,Male,Location 26,Region 6,17600,27/03/2019,2200,45,365,3228,4206,16781,Active
20,LoanID_20,Product E,NotSpecified,Location 30,Region 6,55625,11/10/2019,8000,120,365,12226,15176,46626,Active
21,LoanID_21,Product B,Female,Location 48,Region 1,17600,12/05/2018,2200,45,365,3660,4685,17200,Active
22,LoanID_22,Product A,Female,Location 196,Region 4,23250,07/07/2019,5000,55,365,6300,8325,22875,Active
23,LoanID_23,Product A,Female,Location 64,Region 12,20250,13/02/2020,1000,55,365,1500,2475,13700,Active
24,LoanID_24,Product C,NotSpecified,Location 91,Region 2,16600,21/12/2016,1000,45,365,2340,4485,15520,Active
25,LoanID_25,Product D,Female,Location 62,Region 6,21250,02/10/2017,2200,55,365,3651,4676,20101,Active
26,LoanID_26,Product A,Male,Location 75,Region 2,23250,11/09/2019,5000,55,365,6400,6525,15800,Active
27,LoanID_27,Product A,Male,Location 26,Region 1,20250,07/11/2019,1000,55,365,450,1675,8500,Active
28,LoanID_28,Product F,Male,Location 42,Region 4,70225,17/04/2020,8000,150,365,14601,16771,65001,Active
29,LoanID_29,Product D,Male,Location 233,Region 6,21250,14/12/2017,2200,55,365,5921,6746,16191,Active
30,LoanID_30,Product B,Female,Location 95,Region 2,17600,09/05/2019,2200,45,365,3741,4766,17311,Active
31,LoanID_31,Product B,Male,Location 78,Region 3,17600,24/02/2018,2200,45,365,3141,4156,17361,Active
32,LoanID_32,Product B,Female,Location 25,Region 6,17600,09/08/2018,2200,45,365,3530,4235,17024,Active
33,LoanID_33,Product A,Male,Location 6,Region 5,20250,07/03/2020,1000,55,365,-2770,-2945,2160,Active
34,LoanID_34,Product B,Female,Location 61,Region 2,17600,22/02/2018,2200,45,365,3700,4725,17400,Active
35,LoanID_35,Product A,Male,Location 87,Region 6,20250,08/02/2020,1000,55,365,350,775,6050,Active
36,LoanID_36,Product B,Female,Location 19,Region 1,17600,24/07/2018,2200,45,365,3221,3846,13721,Active
37,LoanID_37,Product B,Male,Location 8,Region 6,17600,24/03/2018,2200,45,365,3020,4125,16400,Active
38,LoanID_38,Product B,Female,Location 115,Region 3,17600,22/02/2019,2200,45,365,3141,3486,10081,Active
39,LoanID_39,Product C,Male,Location 350,Region 4,16600,13/09/2016,1000,45,365,2800,3425,12610,Active
40,LoanID_40,Product B,Male,Location 377,Region 6,17600,12/10/2018,2200,45,365,3501,4326,17141,Active
41,LoanID_41,Product B,Male,Location 17,Region 6,17600,27/06/2018,2200,45,365,3181,4526,16801,Active
42,LoanID_42,Product B,Female,Location 113,Region 6,17600,26/02/2019,2200,45,365,3140,3945,10220,Active
43,LoanID_43,Product A,Female,Location 42,Region 2,20250,17/10/2019,1000,55,365,-200,125,9918,Active
44,LoanID_44,Product C,Male,Location 602,Region 4,16600,04/02/2017,1000,45,365,2220,3445,13010,Active
45,LoanID_45,Product A,Female,Location 81,Region 6,20250,03/06/2020,1000,55,365,-1900,-625,14850,Active
46,LoanID_46,Product B,Male,Location 58,Region 2,17600,24/05/2018,2200,45,365,3151,4006,12971,Active
47,LoanID_47,Product B,Male,Location 212,Region 2,17600,20/02/2018,2200,45,365,4701,4526,16561,Active
48,LoanID_48,Product B,Male,Location 53,Region 6,17600,10/05/2018,2200,45,365,3071,3936,9931,Active
49,LoanID_49,Product D,Male,Location 46,Region 6,21250,17/05/2017,2200,55,365,3500,4725,20400,Active
